zip,date,911-score
21047,2018-04-01,9.96875
21047,2018-05-01,9.96875
21047,2018-06-01,9.96875
21047,2018-10-01,9.96875
21047,2018-11-01,9.96875
21048,2016-01-01,9.96875
21048,2017-03-01,9.96875
21048,2017-06-01,9.96875
21048,2017-10-01,9.96875
21053,2018-09-01,9.96875
21060,2016-11-01,9.96875
21060,2017-01-01,9.96875
21060,2017-04-01,9.96875
21061,2016-07-01,9.96875
21061,2017-03-01,9.96875
21061,2017-05-01,9.96875
21061,2017-12-01,9.96875
21061,2018-02-01,9.96875
21061,2018-03-01,9.96875
21061,2018-11-01,9.96875
21074,2017-12-01,9.96875
21077,2017-01-01,9.96875
21082,2015-06-01,9.9375
21082,2016-04-01,9.96875
21082,2016-06-01,9.96875
21082,2016-09-01,9.96875
21082,2017-07-01,9.96875
21082,2018-01-01,9.96875
21082,2018-07-01,9.96875
21090,2016-06-01,9.96875
21090,2016-08-01,9.9375
21090,2016-09-01,9.96875
21090,2016-10-01,9.96875
21090,2017-01-01,9.96875
21090,2017-03-01,9.96875
21090,2017-06-01,9.9375
21090,2018-05-01,9.96875
21090,2018-07-01,9.96875
21090,2018-10-01,9.9375
21093,2015-03-01,9.9375
21093,2015-05-01,9.96875
21093,2016-11-01,9.96875
21093,2017-03-01,9.9375
21093,2017-05-01,9.96875
21093,2017-06-01,9.96875
21093,2018-02-01,9.96875
21093,2018-04-01,9.96875
21093,2018-06-01,9.96875
21093,2018-08-01,9.96875
21104,2015-02-01,9.96875
21117,2018-09-01,9.96875
21120,2015-06-01,9.96875
21120,2015-08-01,9.96875
21120,2015-09-01,9.96875
21120,2016-02-01,9.96875
21120,2016-07-01,9.96875
21120,2016-08-01,9.96875
21120,2016-10-01,9.9375
21120,2016-12-01,9.96875
21120,2017-01-01,9.9375
21120,2017-02-01,9.96875
21120,2017-04-01,9.9375
21120,2017-05-01,9.96875
21120,2017-10-01,9.90625
21120,2017-12-01,9.96875
21120,2018-01-01,9.96875
21120,2018-05-01,9.875
21120,2018-06-01,9.96875
21120,2018-07-01,9.90625
21120,2018-10-01,9.96875
21122,2016-05-01,9.96875
21122,2016-06-01,9.875
21122,2016-11-01,9.96875
21122,2017-02-01,9.96875
21122,2017-05-01,9.96875
21122,2017-09-01,9.9375
21122,2017-10-01,9.96875
21122,2017-11-01,9.78125
21122,2018-02-01,9.96875
21122,2018-03-01,9.96875
21122,2018-05-01,9.96875
21122,2018-06-01,9.96875
21122,2018-08-01,9.96875
21128,2017-01-01,9.96875
21133,2015-03-01,9.96875
21133,2015-10-01,9.96875
21133,2016-07-01,9.96875
21133,2017-01-01,9.96875
21133,2017-02-01,9.96875
21133,2017-05-01,9.96875
21133,2017-09-01,9.96875
21133,2017-11-01,9.96875
21133,2017-12-01,9.96875
21133,2018-10-01,9.9375
21136,2015-01-01,9.96875
21136,2015-03-01,9.90625
21136,2015-04-01,9.78125
21136,2015-05-01,9.875
21136,2015-06-01,9.9375
21136,2015-07-01,9.9375
21136,2015-08-01,9.6875
21136,2015-09-01,9.75
21136,2015-10-01,9.71875
21136,2015-11-01,9.96875
21136,2015-12-01,9.84375
21136,2016-01-01,9.8125
21136,2016-02-01,9.625
21136,2016-03-01,9.71875
21136,2016-04-01,9.53125
21136,2016-05-01,9.78125
21136,2016-06-01,9.8125
21136,2016-07-01,9.78125
21136,2016-08-01,9.875
21136,2016-09-01,9.90625
21136,2016-10-01,9.75
21136,2016-11-01,9.84375
21136,2016-12-01,9.8125
21136,2017-01-01,9.8125
21136,2017-02-01,9.90625
21136,2017-03-01,9.84375
21136,2017-04-01,9.9375
21136,2017-05-01,9.71875
21136,2017-06-01,9.75
21136,2017-07-01,9.84375
21136,2017-08-01,9.875
21136,2017-09-01,9.8125
21136,2017-10-01,9.84375
21136,2017-11-01,9.9375
21136,2017-12-01,9.65625
21136,2018-01-01,9.8125
21136,2018-02-01,9.75
21136,2018-03-01,9.9375
21136,2018-04-01,9.875
21136,2018-05-01,9.96875
21136,2018-06-01,9.84375
21136,2018-07-01,9.9375
